
AirForce,,p,
AirForce,, ,
AirForce,, ,
AirForce,, ,
AirForce,,
AirForce,,p,
AirForce,2010,10/16,@,SanDiegoState,L,25,27,
AirForce,2010,10/23,@,TexasChristian,L,7,38,
AirForce,2010,10/30,vs.,Utah,L,23,28,
AirForce,2010,11/6,@,Army,W,42,22,
AirForce,2010,11/13,vs.,NewMexico,W,48,23,
AirForce,2010,11/18,@,Nevada-LasVegas,W,35,20,
AirForce,2010,12/27,vs.,GeorgiaTech,W,14,7,@ Shreveport, LA,Independence Bowl,
AirForce,2010, ,p, ,401,274,
AirForce,2010,p,
AirForce,2009,9/5,vs.,Nicholls State (non-IA),W,72,0,
AirForce,2009,9/12,@,Minnesota,L,13,20,
AirForce,2009,9/19,@,NewMexico,W,37,13,
AirForce,2009,9/26,vs.,SanDiegoState,W,26,14,
AirForce,2009,10/3,@,Navy,L,13,16,
AirForce,2009,10/10,vs.,TexasChristian,L,17,20,
AirForce,2009,10/17,vs.,Wyoming,W,10,0,
AirForce,2009,10/24,@,Utah,L,16,23,
AirForce,2009,10/31,@,ColoradoState,W,34,16,
AirForce,2009,11/7,vs.,Army,W,35,7,
AirForce,2009,11/14,vs.,Nevada-LasVegas,W,45,17,
AirForce,2009,11/21,@,BrighamYoung,L,21,38,
AirForce,2009,12/31,vs.,Houston,W,47,20,@ Fort Worth, TX,Armed Forces Bowl,
AirForce,2009, ,p, ,386,204,
AirForce,2009,p,
AirForce,2008,8/30,vs.,Southern Utah (non-IA),W,41,7,
AirForce,2008,9/6,@,Wyoming,W,23,3,
AirForce,2008,9/13,@,Houston,W,31,28,
AirForce,2008,9/20,vs.,Utah,L,23,30,
AirForce,2008,10/4,vs.,Navy,L,27,33,
AirForce,2008,10/11,@,SanDiegoState,W,35,10,
AirForce,2008,10/18,@,Nevada-LasVegas,W,29,28,
AirForce,2008,10/23,vs.,NewMexico,W,23,10,
AirForce,2008,11/1,@,Army,W,16,7,
AirForce,2008,11/8,vs.,ColoradoState,W,38,17,
AirForce,2008,11/15,vs.,BrighamYoung,L,24,38,
AirForce,2008,11/22,@,TexasChristian,L,10,44,
AirForce,2008,12/31,vs.,Houston,L,28,34,@ Fort Worth, TX,Armed Forces Bowl,
AirForce,2008, ,p, ,348,289,
AirForce,2008,p,
AirForce,2007,9/1,vs.,South Carolina State (non-IA),W,34,3,
AirForce,2007,9/8,@,Utah,W,20,12,
AirForce,2007,9/13,vs.,TexasChristian,W,20,17,
AirForce,2007,9/22,@,BrighamYoung,L,6,31,
AirForce,2007,9/29,@,Navy,L,20,31,
AirForce,2007,10/6,vs.,Nevada-LasVegas,W,31,14,
AirForce,2007,10/13,@,ColoradoState,W,45,21,
AirForce,2007,10/20,vs.,Wyoming,W,20,12,
AirForce,2007,10/25,@,NewMexico,L,31,34,
AirForce,2007,11/3,vs.,Army,W,30,10,
AirForce,2007,11/10,@,NotreDame,W,41,24,
AirForce,2007,11/17,vs.,SanDiegoState,W,55,23,
AirForce,2007,12/31,vs.,California,L,36,42,@ Fort Worth, TX,Armed Forces Bowl,
AirForce,2007, ,p, ,389,274,
AirForce,2007,p,
AirForce,2006,9/9,@,Tennessee,L,30,31,
AirForce,2006,9/23,@,Wyoming,W,31,24,
AirForce,2006,9/30,vs.,NewMexico,W,24,7,
AirForce,2006,10/7,vs.,Navy,L,17,24,
AirForce,2006,10/12,vs.,ColoradoState,W,24,21,
AirForce,2006,10/21,@,SanDiegoState,L,12,19,
AirForce,2006,10/28,vs.,BrighamYoung,L,14,33,
AirForce,2006,11/3,@,Army,W,43,7,
AirForce,2006,11/11,vs.,NotreDame,L,17,39,
AirForce,2006,11/18,vs.,Utah,L,14,17,
AirForce,2006,11/24,@,Nevada-LasVegas,L,39,42,
AirForce,2006,12/2,@,TexasChristian,L,14,38,
AirForce,2006, ,p, ,279,302,
AirForce,2006,p,
AirForce,2005,9/3,vs.,Washington,W,20,17,@ Seattle, WA,
AirForce,2005,9/10,vs.,SanDiegoState,W,41,29,
AirForce,2005,9/17,vs.,Wyoming,L,28,29,
AirForce,2005,9/22,@,Utah,L,35,38,
AirForce,2005,9/29,@,ColoradoState,L,23,41,
AirForce,2005,10/8,@,Navy,L,24,27,
AirForce,2005,10/15,vs.,Nevada-LasVegas,W,42,7,
AirForce,2005,10/22,vs.,TexasChristian,L,10,48,
AirForce,2005,10/29,@,BrighamYoung,L,41,62,
AirForce,2005,11/5,vs.,Army,L,24,27,
AirForce,2005,11/19,@,NewMexico,W,42,24,
AirForce,2005, ,p, ,330,349,
AirForce,2005,p,
AirForce,2004,9/4,vs.,California,L,14,56,
